Days;Replicates;Time of day;Temperature (øC);plant density ;Abundance of insects ;rtus 
1;1;night ;19;3;3;1
1;2;night ;19;4;0;0
1;3;night ;19;4;0;0
1;4;night ;19;4;2;2
1;5;night ;19;4;1;1
1;6;night ;19;3;0;0
1;7;night ;19;3;0;0
1;8;night ;19;3;0;0
1;9;night ;19;4;0;0
1;10;night ;19;3;1;1
1;11;night ;19;3;2;1
1;12;night ;19;2;0;0
1;13;night ;19;2;0;0
1;14;night ;19;3;0;0
1;15;night ;19;3;1;1
1;16;morning ;19;3;1;1
1;17;morning ;19;4;0;0
1;18;morning ;19;4;0;0
1;19;morning ;19;4;0;0
1;20;morning ;19;4;4;2
1;21;morning ;19;3;2;1
1;22;morning ;19;3;1;1
1;23;morning ;19;3;1;1
1;24;morning ;19;4;1;1
1;25;morning ;19;3;0;0
1;26;morning ;19;3;2;1
1;27;morning ;19;2;0;0
1;28;morning ;19;2;0;0
1;29;morning ;19;3;1;1
1;30;morning ;19;3;2;2
2;31;night ;20;3;0;0
2;32;night ;20;4;3;2
2;33;night ;20;4;6;2
2;34;night ;20;4;0;0
2;35;night ;20;4;0;1
2;36;night ;20;3;2;1
2;37;night ;20;3;1;1
2;38;night ;20;3;2;2
2;39;night ;20;4;0;0
2;40;night ;20;3;0;0
2;41;night ;20;3;0;0
2;42;night ;20;2;0;0
2;43;night ;20;2;1;1
2;44;night ;20;3;2;1
2;45;night ;20;3;1;1
2;46;morning ;20;3;0;0
2;47;morning ;20;4;0;0
2;48;morning ;20;4;0;0
2;49;morning ;20;4;1;1
2;50;morning ;20;4;1;1
2;51;morning ;20;3;1;1
2;52;morning ;20;3;0;0
2;53;morning ;20;3;1;1
2;54;morning ;20;4;1;1
2;55;morning ;20;3;0;0
2;56;morning ;20;3;0;0
2;57;morning ;20;2;0;0
2;58;morning ;20;2;0;0
2;59;morning ;20;3;2;2
2;60;morning ;20;3;1;1
3;61;night ;17;3;0;0
3;62;night ;17;4;2;2
3;63;night ;17;4;1;1
3;64;night ;17;4;0;0
3;65;night ;17;4;0;0
3;66;night ;17;3;0;0
3;67;night ;17;3;0;0
3;68;night ;17;3;2;1
3;69;night ;17;4;1;1
3;70;night ;17;3;1;1
3;71;night ;17;3;1;1
3;72;night ;17;2;2;2
3;73;night ;17;2;1;1
3;74;night ;17;3;0;0
3;75;night ;17;3;0;0
3;76;morning ;17;3;0;0
3;77;morning ;17;4;1;1
3;78;morning ;17;4;0;0
3;79;morning ;17;4;0;0
3;80;morning ;17;4;0;0
3;81;morning ;17;3;0;0
3;82;morning ;17;3;0;0
3;83;morning ;17;3;0;0
3;84;morning ;17;4;1;1
3;85;morning ;17;3;0;0
3;86;morning ;17;3;1;1
3;87;morning ;17;2;0;0
3;88;morning ;17;2;0;0
3;89;morning ;17;3;0;0
3;90;morning ;17;3;0;0
4;91;night ;13;3;10;3
4;92;night ;13;4;6;3
4;93;night ;13;4;0;0
4;94;night ;13;4;0;0
4;95;night ;13;4;0;0
4;96;night ;13;3;3;3
4;97;night ;13;3;3;3
4;98;night ;13;3;2;2
4;99;night ;13;4;0;0
4;100;night ;13;3;0;0
4;101;night ;13;3;3;3
4;102;night ;13;2;3;2
4;103;night ;13;2;1;1
4;104;night ;13;3;1;1
4;105;night ;13;3;0;0
4;106;morning ;13;3;2;2
4;107;morning ;13;4;0;0
4;108;morning ;13;4;3;2
4;109;morning ;13;4;0;0
4;110;morning ;13;4;2;2
4;111;morning ;13;3;2;2
4;112;morning ;13;3;6;3
4;113;morning ;13;3;1;1
4;114;morning ;13;4;1;1
4;115;morning ;13;3;3;0
4;116;morning ;13;3;0;0
4;117;morning ;13;2;0;0
4;118;morning ;13;2;3;2
4;119;morning ;13;3;1;1
4;120;morning ;13;3;2;2
5;121;night ;10;3;0;0
5;122;night ;10;4;0;0
5;123;night ;10;4;0;0
5;124;night ;10;4;1;1
5;125;night ;10;4;1;1
5;126;night ;10;3;0;0
5;127;night ;10;3;2;2
5;128;night ;10;3;1;0
5;129;night ;10;4;0;0
5;130;night ;10;3;0;0
5;131;night ;10;3;1;1
5;132;night ;10;2;1;1
5;133;night ;10;2;0;0
5;134;night ;10;3;0;0
5;135;night ;10;3;0;0
5;136;morning ;10;3;4;3
5;137;morning ;10;4;5;1
5;138;morning ;10;4;1;1
5;139;morning ;10;4;1;1
5;140;morning ;10;4;0;0
5;141;morning ;10;3;0;0
5;142;morning ;10;3;1;1
5;143;morning ;10;3;1;1
5;144;morning ;10;4;7;2
5;145;morning ;10;3;0;0
5;146;morning ;10;3;0;0
5;147;morning ;10;2;1;1
5;148;morning ;10;2;0;0
5;149;morning ;10;3;0;0
5;150;morning ;10;3;2;2
6;151;night ;12;3;0;0
6;152;night ;12;4;0;0
6;153;night ;12;4;0;0
6;154;night ;12;4;1;1
6;155;night ;12;4;2;2
6;156;night ;12;3;1;1
6;157;night ;12;3;0;0
